Graph 0,Graph 1,date,time
0,0.01,2023-12-06,08:05:59
1,81.12,2023-12-06,08:06:04
2,81.38,2023-12-06,08:06:09
3,81.61,2023-12-06,08:06:14
4,81.82,2023-12-06,08:06:19
5,82.05,2023-12-06,08:06:24
6,82.24,2023-12-06,08:06:29
7,82.37,2023-12-06,08:06:34
8,82.4,2023-12-06,08:06:39
9,82.22,2023-12-06,08:06:44
10,81.7,2023-12-06,08:06:49
11,82.54,2023-12-06,08:06:54
12,82.64,2023-12-06,08:06:59
13,82.5,2023-12-06,08:07:04
14,82.26,2023-12-06,08:07:09
15,82.03,2023-12-06,08:07:14
16,81.8,2023-12-06,08:07:19
17,81.55,2023-12-06,08:07:24
18,81.27,2023-12-06,08:07:29
19,81.03,2023-12-06,08:07:34
20,80.8,2023-12-06,08:07:39
21,80.56,2023-12-06,08:07:44
22,80.37,2023-12-06,08:07:49
23,80.13,2023-12-06,08:07:54
24,79.94,2023-12-06,08:07:59
25,79.72,2023-12-06,08:08:04
26,79.55,2023-12-06,08:08:09
27,79.34,2023-12-06,08:08:14
28,79.2,2023-12-06,08:08:19
29,79.03,2023-12-06,08:08:24
30,78.8,2023-12-06,08:08:29
31,78.7,2023-12-06,08:08:34
32,78.51,2023-12-06,08:08:39
33,78.35,2023-12-06,08:08:44
34,78.19,2023-12-06,08:08:49
35,78.06,2023-12-06,08:08:54
36,78.0,2023-12-06,08:08:59
37,78.22,2023-12-06,08:09:04
38,78.44,2023-12-06,08:09:09
39,78.65,2023-12-06,08:09:14
40,78.86,2023-12-06,08:09:19
41,79.05,2023-12-06,08:09:24
42,79.25,2023-12-06,08:09:29
43,79.49,2023-12-06,08:09:34
44,79.69,2023-12-06,08:09:39
45,79.9,2023-12-06,08:09:44
46,80.13,2023-12-06,08:09:49
47,80.34,2023-12-06,08:09:54
48,80.56,2023-12-06,08:09:59
49,80.78,2023-12-06,08:10:04
50,81.02,2023-12-06,08:10:09
51,81.25,2023-12-06,08:10:14
52,81.45,2023-12-06,08:10:19
53,81.68,2023-12-06,08:10:24
54,81.89,2023-12-06,08:10:29
55,82.05,2023-12-06,08:10:34
56,82.11,2023-12-06,08:10:39
57,81.99,2023-12-06,08:10:44
58,81.54,2023-12-06,08:10:49
59,82.26,2023-12-06,08:10:54
60,82.32,2023-12-06,08:10:59
61,82.16,2023-12-06,08:11:04
62,81.94,2023-12-06,08:11:09
63,81.61,2023-12-06,08:11:14
64,81.37,2023-12-06,08:11:19
65,81.17,2023-12-06,08:11:24
66,80.92,2023-12-06,08:11:29
67,80.72,2023-12-06,08:11:34
68,80.43,2023-12-06,08:11:39
69,80.22,2023-12-06,08:11:44
70,80.01,2023-12-06,08:11:49
71,79.84,2023-12-06,08:11:54
72,79.6,2023-12-06,08:11:59
73,79.43,2023-12-06,08:12:04
74,79.17,2023-12-06,08:12:09
75,79.01,2023-12-06,08:12:14
76,78.81,2023-12-06,08:12:19
77,78.6,2023-12-06,08:12:24
78,78.42,2023-12-06,08:12:29
79,78.27,2023-12-06,08:12:34
80,78.13,2023-12-06,08:12:39
81,77.96,2023-12-06,08:12:44
82,77.8,2023-12-06,08:12:49
83,77.63,2023-12-06,08:12:54
84,77.49,2023-12-06,08:12:59
85,77.69,2023-12-06,08:13:04
86,77.93,2023-12-06,08:13:09
87,78.19,2023-12-06,08:13:14
88,78.4,2023-12-06,08:13:19
89,78.6,2023-12-06,08:13:24
90,78.83,2023-12-06,08:13:29
91,79.03,2023-12-06,08:13:34
92,79.24,2023-12-06,08:13:39
93,79.48,2023-12-06,08:13:44
94,79.7,2023-12-06,08:13:49
95,79.93,2023-12-06,08:13:54
96,80.16,2023-12-06,08:13:59
97,80.41,2023-12-06,08:14:04
98,80.63,2023-12-06,08:14:09
99,80.89,2023-12-06,08:14:14
100,81.12,2023-12-06,08:14:19
101,81.39,2023-12-06,08:14:24
102,81.63,2023-12-06,08:14:29
103,81.84,2023-12-06,08:14:34
104,81.98,2023-12-06,08:14:39
105,82.02,2023-12-06,08:14:44
106,81.79,2023-12-06,08:14:49
107,82.13,2023-12-06,08:14:54
108,82.1,2023-12-06,08:14:59
109,81.9,2023-12-06,08:15:04
110,81.63,2023-12-06,08:15:09
111,81.37,2023-12-06,08:15:14
112,81.14,2023-12-06,08:15:19
113,80.88,2023-12-06,08:15:24
114,80.64,2023-12-06,08:15:29
115,80.43,2023-12-06,08:15:34
116,80.18,2023-12-06,08:15:39
117,79.94,2023-12-06,08:15:44
118,79.72,2023-12-06,08:15:49
119,79.52,2023-12-06,08:15:54
120,79.3,2023-12-06,08:15:59
121,79.11,2023-12-06,08:16:04
122,78.91,2023-12-06,08:16:09
123,78.7,2023-12-06,08:16:14
124,78.53,2023-12-06,08:16:19
125,78.34,2023-12-06,08:16:24
126,78.17,2023-12-06,08:16:29
127,77.98,2023-12-06,08:16:34
128,77.82,2023-12-06,08:16:39
129,77.66,2023-12-06,08:16:44
130,77.48,2023-12-06,08:16:49
131,77.34,2023-12-06,08:16:54
132,77.29,2023-12-06,08:16:59
133,77.54,2023-12-06,08:17:04
134,77.77,2023-12-06,08:17:09
135,77.98,2023-12-06,08:17:14
136,78.19,2023-12-06,08:17:19
137,78.41,2023-12-06,08:17:24
138,78.65,2023-12-06,08:17:29
139,78.85,2023-12-06,08:17:34
140,79.07,2023-12-06,08:17:39
141,79.3,2023-12-06,08:17:44
142,79.53,2023-12-06,08:17:49
143,79.77,2023-12-06,08:17:54
144,80.0,2023-12-06,08:17:59
145,80.25,2023-12-06,08:18:04
146,80.52,2023-12-06,08:18:09
147,80.76,2023-12-06,08:18:14
148,81.01,2023-12-06,08:18:19
149,81.29,2023-12-06,08:18:24
150,81.52,2023-12-06,08:18:29
151,81.74,2023-12-06,08:18:34
152,81.9,2023-12-06,08:18:39
153,81.85,2023-12-06,08:18:44
154,81.57,2023-12-06,08:18:49
155,82.04,2023-12-06,08:18:54
156,82.01,2023-12-06,08:18:59
157,81.8,2023-12-06,08:19:04
158,81.54,2023-12-06,08:19:09
159,81.21,2023-12-06,08:19:14
160,80.97,2023-12-06,08:19:19
161,80.72,2023-12-06,08:19:24
162,80.48,2023-12-06,08:19:29
163,80.23,2023-12-06,08:19:34
164,80.02,2023-12-06,08:19:39
165,79.78,2023-12-06,08:19:44
166,79.55,2023-12-06,08:19:49
167,79.37,2023-12-06,08:19:54
168,79.13,2023-12-06,08:19:59
169,78.93,2023-12-06,08:20:04
